Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
OpenAPI spec for endpoints,NEV-43,10545,Task,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 2:09 PM,25/Apr/24 2:54 PM,25/Apr/24 4:01 PM,25/Apr/24 2:54 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,{},,,,,,,,0|i002tx:,,,,,,,,,,,,10046_*:*_1_*:*_367_*|*_10048_*:*_1_*:*_0_*|*_10047_*:*_1_*:*_2716273,,,Done,25/Apr/24 2:54 PM
Linting and code cleanup,NEV-42,10544,Task,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 2:04 PM,25/Apr/24 2:09 PM,25/Apr/24 4:03 PM,25/Apr/24 2:09 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T14:08:34.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002tp:,,,,,,,,,,,,10046_*:*_1_*:*_408_*|*_10048_*:*_1_*:*_0_*|*_10047_*:*_1_*:*_269738,,,Done,25/Apr/24 2:09 PM
Test qty isvalid,NEV-41,10543,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 1:23 PM,25/Apr/24 1:47 PM,25/Apr/24 4:03 PM,25/Apr/24 1:47 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T13:45:07.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002th:,,,,,,,,,,,,10046_*:*_1_*:*_1458120_*|*_10048_*:*_1_*:*_0,10520,Transfer validation implementation,Done,25/Apr/24 1:47 PM
Test destination is valid,NEV-40,10542,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 1:23 PM,25/Apr/24 1:39 PM,25/Apr/24 4:03 PM,25/Apr/24 1:39 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T13:39:17.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002t9:,,,,,,,,,,,,10046_*:*_1_*:*_982272_*|*_10048_*:*_1_*:*_0,10520,Transfer validation implementation,Done,25/Apr/24 1:39 PM
Test source account is valid,NEV-39,10541,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 1:23 PM,25/Apr/24 1:39 PM,25/Apr/24 4:03 PM,25/Apr/24 1:39 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T13:31:13.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002t1:,,,,,,,,,,,,10046_*:*_1_*:*_988685_*|*_10048_*:*_1_*:*_0,10520,Transfer validation implementation,Done,25/Apr/24 1:39 PM
Null check pending transactions,NEV-38,10540,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 12:35 PM,25/Apr/24 12:46 PM,25/Apr/24 4:03 PM,25/Apr/24 12:46 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T12:35:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002st:,,,,,,,,,,,,10046_*:*_1_*:*_662409_*|*_10048_*:*_1_*:*_0,10515,Withdrawal validation implementation,Done,25/Apr/24 12:46 PM
Test for valid destination address,NEV-37,10539,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 12:27 PM,25/Apr/24 12:46 PM,25/Apr/24 4:03 PM,25/Apr/24 12:46 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T12:30:34.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002sl:,,,,,,,,,,,,10046_*:*_1_*:*_1157899_*|*_10048_*:*_1_*:*_0,10515,Withdrawal validation implementation,Done,25/Apr/24 12:46 PM
Test the source account exists,NEV-36,10538,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 12:16 PM,25/Apr/24 12:27 PM,25/Apr/24 4:03 PM,25/Apr/24 12:27 PM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T12:27:02.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002sd:,,,,,,,,,,,,10046_*:*_1_*:*_633673_*|*_10048_*:*_1_*:*_0,10515,Withdrawal validation implementation,Done,25/Apr/24 12:27 PM
Remove withdraw src dst equality check,NEV-35,10537,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:45 AM,25/Apr/24 11:45 AM,25/Apr/24 4:03 PM,25/Apr/24 11:45 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:45:45.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002s5:,,,,,,,,,,,,10046_*:*_1_*:*_27839_*|*_10048_*:*_1_*:*_0,10515,Withdrawal validation implementation,Done,25/Apr/24 11:45 AM
Create a basic user service,NEV-34,10536,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:39 AM,25/Apr/24 11:42 AM,25/Apr/24 4:03 PM,25/Apr/24 11:42 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2024-04-25T12:13:04.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":3,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002rx:,,,,,,,,,,,,10046_*:*_1_*:*_173875_*|*_10048_*:*_1_*:*_0,10515,Withdrawal validation implementation,Done,25/Apr/24 11:42 AM
